review,sentiment
This movie was absolutely amazing and I loved every minute,positive
The acting was terrible and the plot made no sense,negative
Great visuals but the story was boring and predictable,mixed
I really enjoyed the film it was heartwarming and fun,positive
Worst movie I have ever seen total waste of time,negative
The cinematography was stunning however the dialogue was awful,mixed
A masterpiece of modern cinema truly brilliant,positive
I fell asleep halfway through it was so dull,negative
The cast was excellent but the ending was disappointing,mixed
Wonderful storytelling and beautiful music throughout,positive
Boring characters and a plot that goes nowhere,negative
The action scenes were thrilling although the romance felt forced,mixed
An incredible experience from start to finish,positive
The script was lazy and full of cliches,negative
Good performances but the pacing was way too slow,mixed
I laughed and cried this movie has it all,positive
Absolutely dreadful I want my money back,negative
The special effects were amazing but the acting was wooden,mixed
One of the best films I have seen this year,positive
A complete disaster with no redeeming qualities,negative
The humor was great although the plot was weak,mixed
Deeply moving and emotionally powerful film,positive
Terrible direction and poor editing throughout,negative
Strong opening but it falls apart in the second half,mixed
A delightful movie that the whole family can enjoy,positive
Painfully slow and utterly forgettable,negative
The lead actor was fantastic but the supporting cast was weak,mixed
Thrilling suspenseful and expertly crafted,positive
Nothing original about this film it is just a copy,negative
Beautiful scenery but the characters lacked depth,mixed
I was blown away by the storytelling and visuals,positive
The movie dragged on for too long and lost my interest,negative
Incredible soundtrack however the plot was confusing,mixed
A perfect blend of comedy and drama well done,positive
Cheap looking sets and terrible costumes ruined it,negative
The first half was exciting but the second half was boring,mixed
Truly inspiring and uplifting I highly recommend it,positive
An embarrassment to the genre avoid at all costs,negative
The director did well with visuals but failed on story,mixed
A cinematic triumph that will be remembered for years,positive
Forgettable and bland with nothing to offer,negative
Great concept but poor execution overall,mixed
Outstanding performances by the entire cast,positive
The worst sequel I have ever had to sit through,negative
Loved the beginning but hated the ending,mixed
Pure magic on screen every scene was perfect,positive
A tiresome and predictable mess from start to finish,negative
The writing was clever though the pacing needed work,mixed
Everything about this film was top notch,positive
I could not wait for this movie to end it was awful,negative
